latitude,longitude,population
13.0195833,0.9820833,0.408465
12.9873611,0.9493056,0.408465
13.0201389,0.9781944,0.408465
12.9715278,0.9840278,0.408465
12.9443056,0.9504167,0.408465
12.9318056,0.9779167,0.408465
12.9898611,0.9570833,0.408465
12.9879167,0.9520833,0.408465
13.0204167,0.9781944,0.408465
12.9259722,1.1279167,0.408465
12.93375,0.9806944,0.408465
12.9909722,0.9551389,0.408465
